account_id,industry,region,pipeline_stage,deal_size,days_in_stage,num_meetings,email_open_rate,champion_identified,competitor_present,product_fit_score,account_tenure_yrs,prev_purchases,exec_sponsor,nps_score,days_since_contact,converted,created_at
ACC-00022,Financial Services,APAC,Prospecting,20500.0,19,2,0.118,0,0,0.758,0.9,1,1,7,9,1,2026-07-19 10:10:54.743919+00:00
ACC-00023,Healthcare,SEA,Closed Won,10000.0,134,5,0.235,1,0,0.616,1.3,2,0,3,3,1,2026-07-19 10:10:54.743919+00:00
ACC-00024,Retail,EMEA,Prospecting,76400.0,32,4,0.54,1,0,0.868,0.7,3,0,1,25,1,2026-07-19 10:10:54.743919+00:00
ACC-00025,Retail,SEA,Proposal,173200.0,20,5,0.167,1,0,0.507,3.5,0,0,8,19,1,2026-07-19 10:10:54.743919+00:00
ACC-00026,Technology,APAC,Prospecting,118500.0,25,4,0.239,0,0,0.886,0.8,0,0,7,10,1,2026-07-19 10:10:54.743919+00:00
ACC-00027,Financial Services,North America,Closed Won,433100.0,6,7,0.165,1,0,0.477,2.5,0,1,0,14,1,2026-07-19 10:10:54.743919+00:00
ACC-00028,Retail,North America,Closed Won,166800.0,33,2,0.295,1,1,0.702,5.5,1,1,6,11,1,2026-07-19 10:10:54.743919+00:00
ACC-00029,Manufacturing,EMEA,Proposal,50200.0,84,4,0.069,1,0,0.64,2.2,2,1,8,2,1,2026-07-19 10:10:54.743919+00:00
ACC-00030,Financial Services,North America,Proposal,10000.0,45,2,0.609,0,1,0.547,2.7,1,0,9,41,0,2026-07-19 10:10:54.743919+00:00
ACC-00031,Manufacturing,APAC,Prospecting,74300.0,24,6,0.527,1,1,0.308,10.3,2,1,9,48,1,2026-07-19 10:10:54.743919+00:00
ACC-00032,Financial Services,APAC,Closed Lost,338900.0,38,10,0.235,1,1,0.578,1.2,3,0,8,21,0,2026-07-19 10:10:54.743919+00:00
ACC-00033,Financial Services,EMEA,Closed Won,61700.0,9,2,0.05,0,1,0.383,4.8,2,1,10,50,1,2026-07-19 10:10:54.743919+00:00
ACC-00034,Logistics,EMEA,Closed Won,102100.0,39,3,0.222,1,0,0.458,3.5,3,0,0,12,1,2026-07-19 10:10:54.743919+00:00
ACC-00035,Logistics,North America,Proposal,163700.0,32,7,0.086,0,0,0.782,0.4,2,0,8,11,1,2026-07-19 10:10:54.743919+00:00
ACC-00036,Technology,APAC,Qualification,29200.0,67,1,0.173,0,0,0.7,13.7,1,1,8,16,1,2026-07-19 10:10:54.743919+00:00
ACC-00037,Healthcare,EMEA,Closed Won,208500.0,49,11,0.069,0,0,0.669,3.5,1,0,5,42,0,2026-07-19 10:10:54.743919+00:00
ACC-00038,Financial Services,SEA,Prospecting,704000.0,21,4,0.148,0,0,0.695,0.0,1,0,2,18,0,2026-07-19 10:10:54.743919+00:00
ACC-00039,Manufacturing,EMEA,Proposal,80200.0,66,4,0.159,0,1,0.384,3.8,3,1,4,8,1,2026-07-19 10:10:54.743919+00:00
ACC-00040,Retail,SEA,Prospecting,25500.0,79,6,0.085,1,0,0.415,0.4,4,1,8,35,1,2026-07-19 10:10:54.743919+00:00
ACC-00041,Financial Services,India,Closed Won,91100.0,49,4,0.109,0,1,0.68,1.0,2,1,3,4,1,2026-07-19 10:10:54.743919+00:00
ACC-00042,Retail,EMEA,Prospecting,10000.0,34,3,0.219,0,0,0.585,1.3,5,0,0,6,1,2026-07-19 10:10:54.743919+00:00
ACC-00043,Financial Services,North America,Prospecting,147900.0,28,5,0.365,0,0,0.624,1.1,1,0,1,11,0,2026-07-19 10:10:54.743919+00:00
ACC-00044,Logistics,EMEA,Proposal,169900.0,94,5,0.39,0,1,0.915,4.1,1,0,2,25,0,2026-07-19 10:10:54.743919+00:00
ACC-00045,Healthcare,EMEA,Negotiation,737300.0,47,7,0.408,1,0,0.43,4.2,1,0,9,15,1,2026-07-19 10:10:54.743919+00:00
ACC-00046,Manufacturing,EMEA,Proposal,78200.0,42,5,0.581,0,1,0.937,2.3,1,0,1,6,1,2026-07-19 10:10:54.743919+00:00
ACC-00047,Healthcare,APAC,Prospecting,161200.0,18,5,0.209,1,0,0.9,2.5,1,0,5,22,1,2026-07-19 10:10:54.743919+00:00
ACC-00048,Retail,APAC,Prospecting,35100.0,22,6,0.598,0,1,0.931,1.1,1,1,2,21,0,2026-07-19 10:10:54.743919+00:00
ACC-00049,Manufacturing,APAC,Negotiation,64400.0,14,2,0.427,1,0,0.749,0.1,1,0,7,5,1,2026-07-19 10:10:54.743919+00:00
ACC-00050,Financial Services,APAC,Closed Lost,15800.0,34,5,0.157,1,1,0.905,1.3,2,0,5,31,0,2026-07-19 10:10:54.743919+00:00
ACC-00051,Logistics,North America,Negotiation,78100.0,28,5,0.252,1,0,0.994,0.0,2,0,1,1,1,2026-07-19 10:10:54.743919+00:00
ACC-00052,Technology,India,Qualification,68400.0,43,5,0.095,1,1,0.63,6.0,3,0,2,3,1,2026-07-19 10:10:54.743919+00:00
ACC-00053,Logistics,North America,Closed Won,141400.0,73,5,0.101,1,1,0.903,3.1,1,0,6,22,0,2026-07-19 10:10:54.743919+00:00
ACC-00054,Technology,North America,Qualification,46700.0,58,5,0.252,1,1,0.933,11.6,0,0,4,9,1,2026-07-19 10:10:54.743919+00:00
ACC-00055,Manufacturing,APAC,Qualification,109100.0,65,3,0.245,1,0,0.517,0.6,1,0,5,16,0,2026-07-19 10:10:54.743919+00:00
ACC-00056,Logistics,EMEA,Qualification,66200.0,72,3,0.333,1,1,0.61,3.2,3,1,5,41,1,2026-07-19 10:10:54.743919+00:00
ACC-00057,Financial Services,APAC,Qualification,66300.0,23,4,0.02,0,1,0.702,0.6,3,0,5,5,0,2026-07-19 10:10:54.743919+00:00
ACC-00058,Financial Services,North America,Negotiation,108700.0,31,1,0.126,0,0,0.544,3.1,1,1,5,38,1,2026-07-19 10:10:54.743919+00:00
ACC-00059,Financial Services,EMEA,Qualification,103600.0,28,6,0.355,0,0,0.526,2.0,2,1,1,10,0,2026-07-19 10:10:54.743919+00:00
ACC-00060,Healthcare,APAC,Qualification,246100.0,60,1,0.217,1,0,0.567,3.3,1,1,5,4,0,2026-07-19 10:10:54.743919+00:00
ACC-00061,Retail,SEA,Prospecting,85400.0,17,1,0.036,0,0,0.597,3.9,0,0,5,37,0,2026-07-19 10:10:54.743919+00:00
ACC-00062,Healthcare,SEA,Prospecting,64900.0,86,3,0.604,0,1,0.477,2.2,2,0,3,12,0,2026-07-19 10:10:54.743919+00:00
ACC-00063,Technology,APAC,Proposal,79500.0,30,4,0.511,1,1,0.631,2.0,2,1,8,5,1,2026-07-19 10:10:54.743919+00:00
ACC-00064,Retail,APAC,Prospecting,41900.0,18,2,0.22,0,0,0.845,0.2,3,0,5,5,1,2026-07-19 10:10:54.743919+00:00
ACC-00065,Healthcare,EMEA,Prospecting,64100.0,31,3,0.172,0,0,0.737,1.4,0,0,1,57,0,2026-07-19 10:10:54.743919+00:00
ACC-00066,Manufacturing,North America,Proposal,1129600.0,32,4,0.454,0,0,0.566,1.1,0,0,8,55,1,2026-07-19 10:10:54.743919+00:00
ACC-00067,Financial Services,APAC,Proposal,33000.0,35,5,0.407,1,0,0.409,2.9,2,0,3,26,1,2026-07-19 10:10:54.743919+00:00
ACC-00068,Technology,APAC,Negotiation,70700.0,36,4,0.396,0,0,0.877,1.0,4,0,3,6,1,2026-07-19 10:10:54.743919+00:00
ACC-00069,Financial Services,SEA,Qualification,62000.0,72,4,0.428,0,0,0.658,0.8,0,1,8,17,1,2026-07-19 10:10:54.743919+00:00
ACC-00070,Logistics,North America,Closed Won,73400.0,48,5,0.314,0,1,0.98,5.7,0,0,5,17,0,2026-07-19 10:10:54.743919+00:00
ACC-00071,Technology,EMEA,Closed Won,66300.0,18,6,0.213,0,0,0.477,5.3,3,0,10,23,1,2026-07-19 10:10:54.743919+00:00
ACC-00072,Financial Services,EMEA,Negotiation,138000.0,32,4,0.237,0,1,0.423,1.2,1,0,7,10,0,2026-07-19 10:10:54.743919+00:00
ACC-00073,Financial Services,APAC,Proposal,12700.0,27,2,0.164,1,1,0.306,0.3,2,0,1,9,0,2026-07-19 10:10:54.743919+00:00
ACC-00074,Technology,North America,Qualification,342700.0,41,5,0.265,1,0,0.358,2.1,1,0,9,16,1,2026-07-19 10:10:54.743919+00:00
ACC-00075,Technology,SEA,Closed Lost,210900.0,37,5,0.237,1,1,0.57,1.8,2,0,1,7,0,2026-07-19 10:10:54.743919+00:00
ACC-00076,Technology,APAC,Prospecting,22200.0,101,3,0.044,1,0,0.439,6.1,1,0,0,29,1,2026-07-19 10:10:54.743919+00:00
ACC-00077,Technology,EMEA,Prospecting,10000.0,65,3,0.142,0,1,0.327,2.4,0,1,3,17,0,2026-07-19 10:10:54.743919+00:00
ACC-00078,Financial Services,North America,Qualification,30600.0,55,3,0.406,1,1,0.458,8.6,4,0,6,6,1,2026-07-19 10:10:54.743919+00:00
ACC-00079,Retail,APAC,Prospecting,73800.0,8,2,0.297,1,0,0.81,2.0,3,0,3,7,1,2026-07-19 10:10:54.743919+00:00
ACC-00080,Financial Services,APAC,Closed Lost,2000000.0,64,3,0.118,0,0,0.815,3.3,1,0,10,3,1,2026-07-19 10:10:54.743919+00:00
ACC-00081,Technology,North America,Proposal,189500.0,10,5,0.197,0,1,0.405,2.0,2,0,3,2,0,2026-07-19 10:10:54.743919+00:00
ACC-00082,Manufacturing,North America,Proposal,11300.0,29,5,0.469,0,1,0.956,1.2,0,0,8,19,0,2026-07-19 10:10:54.743919+00:00
ACC-00083,Healthcare,India,Proposal,43100.0,32,0,0.081,1,0,0.411,0.1,3,1,9,9,1,2026-07-19 10:10:54.743919+00:00
ACC-00084,Financial Services,North America,Qualification,92600.0,70,4,0.463,0,0,0.363,4.7,1,0,5,23,1,2026-07-19 10:10:54.743919+00:00
ACC-00085,Healthcare,North America,Prospecting,133800.0,20,1,0.25,1,1,0.414,7.0,1,0,4,1,1,2026-07-19 10:10:54.743919+00:00
ACC-00086,Healthcare,APAC,Proposal,20400.0,35,5,0.115,0,1,0.398,4.0,3,0,10,20,0,2026-07-19 10:10:54.743919+00:00
ACC-00087,Technology,India,Proposal,84000.0,15,6,0.17,0,1,0.742,1.0,1,1,10,10,0,2026-07-19 10:10:54.743919+00:00
ACC-00088,Manufacturing,North America,Qualification,41700.0,53,4,0.438,0,1,0.409,5.1,0,0,2,20,0,2026-07-19 10:10:54.743919+00:00
ACC-00089,Technology,EMEA,Negotiation,26300.0,29,0,0.726,1,0,0.744,2.8,0,0,6,18,0,2026-07-19 10:10:54.743919+00:00
ACC-00090,Retail,North America,Prospecting,134800.0,43,5,0.176,0,1,0.494,3.4,3,0,2,23,0,2026-07-19 10:10:54.743919+00:00
ACC-00091,Financial Services,North America,Prospecting,249900.0,4,4,0.511,1,0,0.474,0.2,4,0,9,7,1,2026-07-19 10:10:54.743919+00:00
ACC-00092,Technology,North America,Prospecting,270800.0,19,2,0.539,1,1,0.928,2.6,0,1,7,14,1,2026-07-19 10:10:54.743919+00:00
ACC-00093,Technology,India,Qualification,196700.0,44,4,0.311,0,0,0.45,2.5,0,0,6,14,1,2026-07-19 10:10:54.743919+00:00
ACC-00094,Manufacturing,North America,Negotiation,54300.0,57,2,0.247,0,1,0.905,3.3,1,1,9,20,0,2026-07-19 10:10:54.743919+00:00
ACC-00095,Technology,North America,Negotiation,232700.0,86,5,0.137,1,0,0.512,4.4,2,0,3,49,1,2026-07-19 10:10:54.743919+00:00
ACC-00096,Retail,APAC,Qualification,143000.0,79,5,0.227,1,1,0.994,1.6,0,0,8,13,0,2026-07-19 10:10:54.743919+00:00
ACC-00097,Retail,India,Proposal,115900.0,27,4,0.163,0,0,0.987,0.5,3,0,1,8,1,2026-07-19 10:10:54.743919+00:00
ACC-00098,Retail,North America,Proposal,47400.0,43,5,0.329,1,1,0.879,7.7,0,0,9,9,1,2026-07-19 10:10:54.743919+00:00
ACC-00099,Financial Services,APAC,Prospecting,54400.0,61,2,0.236,0,0,0.908,4.5,1,0,1,10,0,2026-07-19 10:10:54.743919+00:00
ACC-00100,Financial Services,North America,Prospecting,107900.0,47,10,0.371,0,0,0.876,2.3,2,1,8,15,1,2026-07-19 10:10:54.743919+00:00
ACC-00101,Financial Services,APAC,Closed Lost,1844700.0,32,3,0.389,0,1,0.741,1.3,3,0,4,15,1,2026-07-19 10:10:54.743919+00:00
ACC-00102,Manufacturing,EMEA,Proposal,141700.0,44,1,0.286,1,1,0.866,12.4,4,0,4,22,1,2026-07-19 10:10:54.743919+00:00
ACC-00103,Healthcare,EMEA,Closed Lost,47400.0,83,7,0.21,0,1,0.74,0.3,4,0,4,25,0,2026-07-19 10:10:54.743919+00:00
ACC-00104,Retail,APAC,Qualification,36400.0,38,3,0.397,1,0,0.89,8.2,4,1,8,32,1,2026-07-19 10:10:54.743919+00:00
ACC-00105,Logistics,APAC,Proposal,54700.0,53,0,0.451,0,0,0.955,1.6,1,0,3,24,0,2026-07-19 10:10:54.743919+00:00
ACC-00106,Healthcare,North America,Prospecting,1346100.0,46,7,0.826,0,1,0.827,0.3,0,0,5,36,0,2026-07-19 10:10:54.743919+00:00
ACC-00107,Retail,APAC,Prospecting,61100.0,26,4,0.607,1,1,0.975,1.4,1,0,1,22,0,2026-07-19 10:10:54.743919+00:00
ACC-00108,Technology,North America,Qualification,293100.0,70,2,0.422,1,0,0.614,4.2,1,1,7,18,1,2026-07-19 10:10:54.743919+00:00
ACC-00109,Healthcare,India,Qualification,62900.0,39,4,0.534,0,0,0.948,1.7,0,1,7,3,0,2026-07-19 10:10:54.743919+00:00
ACC-00110,Financial Services,SEA,Prospecting,135100.0,32,5,0.754,1,1,0.458,2.0,2,1,10,15,0,2026-07-19 10:10:54.743919+00:00
ACC-00111,Healthcare,SEA,Prospecting,255300.0,46,4,0.572,1,1,0.322,5.2,2,0,5,11,1,2026-07-19 10:10:54.743919+00:00
ACC-00112,Financial Services,India,Prospecting,49700.0,75,4,0.206,1,0,0.39,2.9,3,1,8,18,1,2026-07-19 10:10:54.743919+00:00
ACC-00113,Logistics,EMEA,Proposal,45700.0,44,1,0.288,0,1,0.412,3.3,1,0,9,19,0,2026-07-19 10:10:54.743919+00:00
ACC-00114,Technology,EMEA,Qualification,722600.0,43,3,0.283,1,0,0.877,0.5,1,0,9,16,1,2026-07-19 10:10:54.743919+00:00
ACC-00115,Manufacturing,North America,Prospecting,321700.0,52,4,0.117,1,0,0.581,0.9,1,1,9,35,1,2026-07-19 10:10:54.743919+00:00
ACC-00116,Technology,EMEA,Prospecting,254900.0,60,3,0.088,1,0,0.463,1.6,0,0,8,15,1,2026-07-19 10:10:54.743919+00:00
ACC-00117,Technology,APAC,Prospecting,253900.0,34,4,0.339,0,0,0.869,0.3,1,1,2,3,1,2026-07-19 10:10:54.743919+00:00
ACC-00118,Financial Services,APAC,Proposal,171400.0,36,0,0.295,0,0,0.441,1.0,0,0,8,27,0,2026-07-19 10:10:54.743919+00:00
ACC-00119,Technology,India,Prospecting,1111600.0,32,5,0.081,0,0,0.355,5.4,2,0,0,8,0,2026-07-19 10:10:54.743919+00:00
ACC-00120,Manufacturing,North America,Negotiation,104100.0,52,3,0.126,1,1,0.626,0.1,1,0,8,8,1,2026-07-19 10:10:54.743919+00:00
ACC-00121,Technology,APAC,Prospecting,197300.0,39,7,0.091,0,0,0.349,0.2,1,0,9,39,1,2026-07-19 10:10:54.743919+00:00
ACC-00122,Technology,SEA,Prospecting,17300.0,40,3,0.477,0,0,0.495,3.5,0,1,3,13,1,2026-07-19 10:10:54.743919+00:00
ACC-00123,Healthcare,North America,Closed Won,36700.0,41,3,0.358,1,0,0.79,1.5,4,0,9,33,0,2026-07-19 10:10:54.743919+00:00
ACC-00124,Financial Services,APAC,Proposal,23400.0,17,6,0.35,0,1,0.562,4.4,1,0,2,23,0,2026-07-19 10:10:54.743919+00:00
ACC-00125,Healthcare,SEA,Prospecting,455400.0,57,4,0.396,0,1,0.361,8.1,0,0,5,4,0,2026-07-19 10:10:54.743919+00:00
ACC-00126,Retail,EMEA,Negotiation,10000.0,33,2,0.258,1,0,0.582,0.9,3,1,4,50,1,2026-07-19 10:10:54.743919+00:00
ACC-00127,Technology,APAC,Qualification,60900.0,39,3,0.11,0,0,0.659,0.1,0,0,10,32,1,2026-07-19 10:10:54.743919+00:00
ACC-00128,Technology,North America,Negotiation,10000.0,29,7,0.456,1,0,0.475,1.8,1,0,2,10,1,2026-07-19 10:10:54.743919+00:00
ACC-00129,Financial Services,APAC,Proposal,36400.0,20,1,0.252,0,1,0.42,10.0,1,0,7,27,1,2026-07-19 10:10:54.743919+00:00
ACC-00130,Retail,India,Proposal,54800.0,44,6,0.641,0,0,0.833,2.4,0,1,7,37,1,2026-07-19 10:10:54.743919+00:00
ACC-00131,Retail,EMEA,Closed Lost,520100.0,50,7,0.368,0,0,0.347,1.4,3,0,9,7,0,2026-07-19 10:10:54.743919+00:00
ACC-00132,Healthcare,APAC,Prospecting,158900.0,133,6,0.118,1,0,0.97,2.4,1,1,8,15,1,2026-07-19 10:10:54.743919+00:00
ACC-00133,Financial Services,North America,Proposal,36300.0,28,5,0.52,1,0,0.305,0.5,2,0,10,13,1,2026-07-19 10:10:54.743919+00:00
ACC-00134,Healthcare,North America,Qualification,354700.0,62,8,0.261,0,1,0.756,4.2,0,0,9,19,1,2026-07-19 10:10:54.743919+00:00
ACC-00135,Logistics,SEA,Prospecting,100900.0,33,3,0.272,1,0,0.394,3.4,3,1,10,9,1,2026-07-19 10:10:54.743919+00:00
ACC-00136,Healthcare,APAC,Prospecting,103300.0,65,2,0.359,0,1,0.683,3.9,2,0,5,15,1,2026-07-19 10:10:54.743919+00:00
ACC-00137,Retail,EMEA,Prospecting,23300.0,55,3,0.174,0,0,0.431,1.1,1,1,7,17,1,2026-07-19 10:10:54.743919+00:00
ACC-00138,Technology,North America,Proposal,30100.0,28,3,0.04,0,0,0.324,5.0,0,1,10,23,1,2026-07-19 10:10:54.743919+00:00
ACC-00139,Retail,EMEA,Proposal,36700.0,19,3,0.336,1,0,0.902,6.7,4,1,2,20,1,2026-07-19 10:10:54.743919+00:00
ACC-00140,Logistics,SEA,Proposal,104400.0,15,3,0.233,0,0,0.597,9.3,3,1,9,12,1,2026-07-19 10:10:54.743919+00:00
ACC-00141,Logistics,EMEA,Prospecting,108400.0,69,5,0.119,1,1,0.493,3.1,4,0,6,25,1,2026-07-19 10:10:54.743919+00:00
ACC-00142,Healthcare,North America,Qualification,629600.0,23,1,0.29,1,0,0.963,1.3,0,0,8,14,1,2026-07-19 10:10:54.743919+00:00
ACC-00143,Retail,EMEA,Closed Won,156700.0,13,4,0.58,0,0,0.357,1.5,1,0,7,23,0,2026-07-19 10:10:54.743919+00:00
ACC-00144,Healthcare,India,Qualification,10000.0,68,2,0.291,1,0,0.544,2.5,1,1,1,13,0,2026-07-19 10:10:54.743919+00:00
ACC-00145,Healthcare,APAC,Proposal,135300.0,41,3,0.328,1,0,0.424,2.6,0,1,4,20,0,2026-07-19 10:10:54.743919+00:00
ACC-00146,Financial Services,India,Negotiation,17300.0,34,4,0.272,0,0,0.994,4.7,1,0,1,16,1,2026-07-19 10:10:54.743919+00:00
ACC-00147,Manufacturing,EMEA,Negotiation,31000.0,60,8,0.454,0,0,0.682,0.3,1,1,8,20,1,2026-07-19 10:10:54.743919+00:00
ACC-00148,Retail,India,Qualification,37200.0,33,2,0.529,1,1,0.869,2.5,0,0,7,26,0,2026-07-19 10:10:54.743919+00:00
ACC-00149,Financial Services,EMEA,Negotiation,44500.0,57,4,0.211,0,1,0.414,1.3,0,1,0,4,0,2026-07-19 10:10:54.743919+00:00
ACC-00150,Healthcare,North America,Qualification,19000.0,28,4,0.259,0,1,0.513,5.4,1,0,3,12,1,2026-07-19 10:10:54.743919+00:00
ACC-00151,Logistics,APAC,Closed Won,126000.0,82,6,0.16,0,1,0.734,1.3,3,1,5,8,1,2026-07-19 10:10:54.743919+00:00
ACC-00152,Healthcare,North America,Prospecting,18200.0,26,5,0.102,1,0,0.425,1.9,0,0,0,6,1,2026-07-19 10:10:54.743919+00:00
ACC-00153,Financial Services,SEA,Prospecting,151400.0,57,2,0.134,0,0,0.65,0.8,0,1,5,22,0,2026-07-19 10:10:54.743919+00:00
ACC-00154,Retail,India,Prospecting,1446100.0,74,4,0.34,0,1,0.952,1.1,2,0,10,18,0,2026-07-19 10:10:54.743919+00:00
ACC-00155,Logistics,EMEA,Negotiation,20000.0,3,5,0.147,0,0,0.951,2.4,4,0,10,22,1,2026-07-19 10:10:54.743919+00:00
ACC-00156,Healthcare,APAC,Qualification,70200.0,54,2,0.29,0,1,0.548,1.7,3,1,5,5,0,2026-07-19 10:10:54.743919+00:00
ACC-00157,Manufacturing,North America,Prospecting,10000.0,26,4,0.115,0,1,0.661,0.7,2,0,4,12,0,2026-07-19 10:10:54.743919+00:00
ACC-00158,Technology,India,Prospecting,68800.0,59,7,0.354,1,1,0.439,1.9,1,1,0,2,1,2026-07-19 10:10:54.743919+00:00
ACC-00159,Healthcare,APAC,Closed Won,213500.0,46,3,0.251,0,0,0.985,0.5,1,0,5,24,0,2026-07-19 10:10:54.743919+00:00
ACC-00160,Technology,North America,Negotiation,234400.0,53,2,0.185,1,1,0.664,6.4,2,0,3,3,1,2026-07-19 10:10:54.743919+00:00
ACC-00161,Retail,EMEA,Proposal,108300.0,39,5,0.184,1,0,0.444,7.7,1,0,0,4,1,2026-07-19 10:10:54.743919+00:00
ACC-00162,Manufacturing,North America,Proposal,287000.0,77,3,0.185,1,0,0.891,0.8,1,0,10,4,1,2026-07-19 10:10:54.743919+00:00
ACC-00163,Manufacturing,APAC,Qualification,2000000.0,16,4,0.35,1,1,0.594,0.2,0,0,9,18,1,2026-07-19 10:10:54.743919+00:00
ACC-00164,Manufacturing,APAC,Qualification,770500.0,72,3,0.258,1,0,0.745,7.9,1,0,10,39,1,2026-07-19 10:10:54.743919+00:00
ACC-00165,Financial Services,North America,Closed Won,52700.0,28,3,0.229,0,0,0.89,1.1,1,0,0,22,1,2026-07-19 10:10:54.743919+00:00
ACC-00166,Technology,SEA,Prospecting,17300.0,10,8,0.603,1,0,0.516,0.6,2,1,1,15,0,2026-07-19 10:10:54.743919+00:00
ACC-00167,Healthcare,North America,Qualification,60600.0,41,4,0.159,1,0,0.705,7.6,2,1,8,17,1,2026-07-19 10:10:54.743919+00:00
ACC-00168,Financial Services,North America,Qualification,31700.0,26,4,0.122,0,1,0.339,6.4,1,1,5,5,0,2026-07-19 10:10:54.743919+00:00
ACC-00169,Financial Services,North America,Qualification,169700.0,52,5,0.237,0,1,0.464,0.2,3,1,1,31,0,2026-07-19 10:10:54.743919+00:00
ACC-00170,Manufacturing,India,Qualification,23900.0,55,2,0.128,1,1,0.397,0.7,4,0,7,9,1,2026-07-19 10:10:54.743919+00:00
ACC-00171,Manufacturing,APAC,Qualification,90500.0,37,3,0.302,0,1,0.751,5.0,1,1,3,14,1,2026-07-19 10:10:54.743919+00:00
ACC-00172,Financial Services,EMEA,Prospecting,269800.0,53,2,0.182,0,0,0.478,0.9,3,0,0,24,0,2026-07-19 10:10:54.743919+00:00
ACC-00173,Retail,North America,Qualification,87500.0,48,0,0.515,1,1,0.832,3.3,2,0,3,58,1,2026-07-19 10:10:54.743919+00:00
ACC-00174,Healthcare,North America,Prospecting,31700.0,41,5,0.291,0,0,0.833,0.1,2,0,9,13,0,2026-07-19 10:10:54.743919+00:00
ACC-00175,Manufacturing,APAC,Prospecting,404200.0,36,3,0.203,0,0,0.849,5.5,0,0,0,10,1,2026-07-19 10:10:54.743919+00:00
ACC-00176,Financial Services,India,Prospecting,10400.0,30,5,0.405,1,1,0.393,1.6,2,0,7,11,0,2026-07-19 10:10:54.743919+00:00
ACC-00177,Manufacturing,India,Negotiation,66600.0,101,4,0.036,0,0,0.668,1.9,2,0,0,26,1,2026-07-19 10:10:54.743919+00:00
ACC-00178,Retail,North America,Qualification,93900.0,40,6,0.171,1,0,0.775,5.0,2,1,5,37,1,2026-07-19 10:10:54.743919+00:00
ACC-00179,Logistics,APAC,Proposal,100600.0,49,7,0.373,0,0,0.526,1.8,2,0,9,46,0,2026-07-19 10:10:54.743919+00:00
