account_id,deal_size_log,days_in_stage,num_meetings,email_open_rate,champion_identified,competitor_present,product_fit_score,account_tenure_yrs,prev_purchases,exec_sponsor,nps_score,days_since_contact,meetings_per_day,engagement_score,stage_weight,industry_score,contact_lapsed,high_value_deal,champion_and_sponsor,converted
ACC-03954,12.40942564947524,24,1,0.263,0,1,0.59,3.7,0,0,0,5,0.04,0.1189,4,0.75,0,0,0,1
ACC-04574,12.352771342460947,23,0,0.139,1,0,0.595,2.1,3,0,0,5,0.0,0.0417,4,0.8,0,0,0,1
ACC-04719,10.064798252418377,52,3,0.248,0,0,0.486,2.6,0,0,0,5,0.05660377358490566,0.1944,1,0.55,0,0,0,0
ACC-00042,9.210440366976517,34,3,0.219,0,0,0.585,1.3,5,0,0,6,0.08571428571428572,0.18569999999999998,1,0.55,0,0,0,1
ACC-00152,9.809231816610408,26,5,0.102,1,0,0.425,1.9,0,0,0,6,0.18518518518518517,0.2306,1,0.65,0,0,0,1
ACC-00810,13.16427469839301,63,4,0.299,0,0,0.953,2.0,2,0,0,6,0.0625,0.24969999999999998,3,0.75,0,1,0,1
ACC-01079,9.546884034617925,32,3,0.086,1,0,0.991,3.7,2,0,0,6,0.09090909090909091,0.14579999999999999,1,0.65,0,0,0,1
ACC-01292,11.426288563310505,13,3,0.128,0,0,0.503,1.4,3,0,0,6,0.21428571428571427,0.15839999999999999,2,0.75,0,0,0,0
ACC-01490,11.847975261832087,30,5,0.468,0,1,0.839,0.6,4,0,0,6,0.16129032258064516,0.34040000000000004,2,0.55,0,0,0,1
ACC-01890,9.210440366976517,23,3,0.62,0,1,0.595,7.6,1,0,0,6,0.125,0.306,2,0.5,0,0,0,0
ACC-02054,10.885584751364705,28,2,0.658,0,0,0.66,3.6,2,0,0,6,0.06896551724137931,0.2774,4,0.5,0,0,0,1
ACC-02376,11.717505780625043,15,5,0.196,0,0,0.609,1.6,1,1,0,6,0.3125,0.25880000000000003,4,0.65,0,0,0,1
ACC-02770,9.34145634983372,59,6,0.303,1,1,0.436,11.5,2,0,0,6,0.1,0.33089999999999997,2,0.6,0,0,0,0
ACC-03136,11.346882686945893,45,5,0.195,1,0,0.901,0.3,2,1,0,6,0.10869565217391304,0.2585,0,0.6,0,0,1,1
ACC-03164,11.119897691565697,83,2,0.227,0,0,0.676,0.1,3,0,0,6,0.023809523809523808,0.1481,1,0.55,0,0,0,0
ACC-03397,10.70551155928146,16,4,0.311,0,1,0.636,6.9,1,0,0,6,0.23529411764705882,0.25329999999999997,2,0.8,0,0,0,1
ACC-03734,11.31813853725963,24,3,0.741,0,1,0.685,6.5,1,0,0,6,0.12,0.3423,4,0.55,0,0,0,1
ACC-04100,10.905974329106854,30,4,0.075,0,1,0.781,4.4,2,1,0,6,0.12903225806451613,0.1825,5,0.75,0,0,0,1
ACC-04499,11.08523008522044,54,5,0.419,0,0,0.312,6.6,1,0,0,6,0.09090909090909091,0.3257,2,0.65,0,0,0,0
ACC-04857,10.264687244346277,52,5,0.272,1,0,0.771,4.2,1,1,0,6,0.09433962264150944,0.2816,2,0.75,0,0,1,1
ACC-00260,13.370005961597958,87,6,0.116,0,1,0.482,2.4,3,1,0,7,0.06818181818181818,0.2748,1,0.75,0,1,0,0
ACC-00264,9.210440366976517,47,8,0.324,1,0,0.461,2.3,0,0,0,7,0.16666666666666666,0.4172,0,0.55,0,0,0,0
ACC-00835,11.020283511637867,25,3,0.823,0,0,0.716,3.3,1,0,0,7,0.11538461538461539,0.3669,2,0.55,0,0,0,1
ACC-01294,12.079380667837011,28,3,0.309,1,0,0.791,0.8,1,0,0,7,0.10344827586206896,0.2127,3,0.6,0,0,0,1
ACC-01346,12.877487888871865,33,5,0.399,0,0,0.776,3.1,2,1,0,7,0.14705882352941177,0.3197,0,0.55,0,0,0,1
ACC-01469,13.227985658798515,19,3,0.202,0,1,0.559,0.4,0,0,0,7,0.15,0.18059999999999998,1,0.8,0,1,0,0
ACC-01720,12.848981238461693,61,7,0.201,1,1,0.873,1.0,2,0,0,7,0.11290322580645161,0.34030000000000005,2,0.65,0,0,0,1
ACC-01743,10.774801838762809,31,4,0.088,0,0,0.301,0.8,2,0,0,7,0.125,0.1864,2,0.8,0,0,0,0
ACC-01747,11.595435894542709,48,5,0.49,0,0,0.761,1.6,2,1,0,7,0.10204081632653061,0.347,1,0.75,0,0,0,1
ACC-01952,10.851296331126829,58,2,0.178,0,0,0.601,2.1,1,1,0,7,0.03389830508474576,0.1334,1,0.65,0,0,0,0
ACC-02113,12.949915316828669,47,4,0.157,0,0,0.663,2.7,0,0,0,7,0.08333333333333333,0.2071,1,0.75,0,0,0,1
ACC-02377,9.90353755128617,49,4,0.062,0,1,0.493,5.2,1,0,0,7,0.08,0.1786,1,0.65,0,0,0,0
ACC-02661,11.505910920476012,31,8,0.404,0,0,0.512,2.8,5,0,0,7,0.25,0.44120000000000004,1,0.55,0,0,0,1
ACC-02849,11.020283511637867,40,4,0.14,0,1,0.541,0.5,0,0,0,7,0.0975609756097561,0.202,1,0.6,0,0,0,0
ACC-03165,13.121364879070743,44,6,0.178,1,0,0.781,0.9,2,1,0,7,0.13333333333333333,0.2934,2,0.75,0,0,1,1
ACC-03240,12.280720828886404,44,2,0.456,0,0,0.433,5.7,2,0,0,7,0.044444444444444446,0.2168,0,0.6,0,0,0,1
ACC-03349,14.143951342934047,9,3,0.513,0,0,0.315,1.1,1,0,0,7,0.3,0.27390000000000003,2,0.65,0,1,0,0
ACC-04618,12.360084744326953,23,5,0.388,0,1,0.656,0.8,1,1,0,7,0.20833333333333334,0.3164,2,0.8,0,0,0,1
ACC-00119,13.921311876454256,32,5,0.081,0,0,0.355,5.4,2,0,0,8,0.15151515151515152,0.2243,1,0.8,0,1,0,0
ACC-00559,11.02518140064756,49,2,0.477,1,0,0.833,0.3,2,0,0,8,0.04,0.22309999999999997,2,0.8,0,0,0,0
ACC-00864,11.388506711556236,32,2,0.061,0,0,0.509,2.3,2,0,0,8,0.06060606060606061,0.0983,2,0.55,0,0,0,0
ACC-00946,12.275136847806356,43,7,0.38,1,0,0.647,13.6,0,1,0,8,0.1590909090909091,0.394,3,0.75,0,0,1,1
ACC-01262,10.929547069355774,14,5,0.268,1,1,0.981,2.4,1,0,0,8,0.3333333333333333,0.2804,2,0.8,0,0,0,0
ACC-01799,10.791399385808587,36,3,0.447,0,0,0.825,4.6,3,0,0,8,0.08108108108108109,0.2541,1,0.75,0,0,0,0
ACC-02100,10.795506083434564,108,2,0.134,1,0,0.782,1.7,4,1,0,8,0.01834862385321101,0.1202,3,0.55,0,0,1,1
ACC-02155,13.077995520404233,24,3,0.166,1,1,0.609,7.0,2,0,0,8,0.12,0.1698,3,0.75,0,0,0,1
ACC-02234,10.295563423525277,33,2,0.256,1,0,0.397,6.2,1,0,0,8,0.058823529411764705,0.1568,1,0.8,0,0,0,0
ACC-02920,11.621788838451959,46,4,0.04,0,0,0.7,1.6,2,0,0,8,0.0851063829787234,0.17200000000000001,2,0.65,0,0,0,0
ACC-03088,11.320565693461432,52,1,0.424,1,0,0.493,0.6,1,0,0,8,0.018867924528301886,0.1672,0,0.75,0,0,0,1
ACC-03459,9.994287576862567,91,3,0.33,1,0,0.634,2.1,2,0,0,8,0.03260869565217391,0.219,0,0.6,0,0,0,0
ACC-03588,11.734475747705874,54,5,0.357,1,0,0.515,7.0,0,1,0,8,0.09090909090909091,0.3071,1,0.8,0,0,1,1
ACC-03670,12.454107814022272,63,6,0.407,1,0,0.992,3.1,2,0,0,8,0.09375,0.3621,4,0.55,0,0,0,1
ACC-03941,11.481445117743048,41,4,0.079,1,1,0.874,5.1,4,1,0,8,0.09523809523809523,0.1837,1,0.8,0,0,1,1
ACC-04804,11.582460855933538,34,6,0.104,1,0,0.76,8.3,1,1,0,8,0.17142857142857143,0.2712,1,0.75,0,0,1,1
ACC-04897,11.05881093278828,105,3,0.209,0,0,0.3,2.3,3,1,0,8,0.02830188679245283,0.18269999999999997,2,0.75,0,0,0,1
ACC-00469,12.673576277384964,85,4,0.222,0,1,0.798,2.3,1,0,0,9,0.046511627906976744,0.2266,4,0.65,0,0,0,0
ACC-00738,11.399767965010177,33,1,0.213,1,1,0.351,2.4,4,0,0,9,0.029411764705882353,0.10389999999999999,2,0.8,0,0,0,0
ACC-01057,10.268165387743457,34,4,0.272,0,1,0.347,0.9,1,0,0,9,0.11428571428571428,0.2416,3,0.8,0,0,0,0
ACC-01729,9.692828247710418,99,3,0.491,0,0,0.984,1.4,3,0,0,9,0.03,0.2673,1,0.8,0,0,0,0
ACC-01817,9.686636660844938,15,2,0.29,1,0,0.953,2.6,0,0,0,9,0.125,0.16699999999999998,3,0.65,0,0,0,0
ACC-02212,11.03973275601109,38,4,0.083,0,1,0.946,9.0,2,0,0,9,0.10256410256410256,0.1849,2,0.8,0,0,0,0
ACC-02317,12.41674272554783,43,5,0.547,0,0,0.772,2.5,3,1,0,9,0.11363636363636363,0.3641,2,0.65,0,0,0,1
ACC-02778,12.107913912447533,37,1,0.206,0,1,0.436,1.1,2,1,0,9,0.02631578947368421,0.1018,5,0.75,0,0,0,0
ACC-02807,11.250274159310356,82,2,0.256,1,0,0.481,6.1,3,0,0,9,0.024096385542168676,0.1568,1,0.8,0,0,0,0
ACC-03134,11.83863282480007,46,4,0.496,0,1,0.953,1.3,1,1,0,9,0.0851063829787234,0.30879999999999996,2,0.6,0,0,0,0
ACC-03487,13.248469017245045,33,6,0.217,0,0,0.627,3.3,1,1,0,9,0.17647058823529413,0.3051,2,0.55,0,1,0,1
ACC-03976,12.034103319015012,43,2,0.413,1,0,0.637,4.0,1,1,0,9,0.045454545454545456,0.20389999999999997,1,0.5,0,0,1,1
ACC-04007,11.138973558699526,18,4,0.306,1,1,0.774,0.4,2,0,0,9,0.21052631578947367,0.2518,2,0.55,0,0,0,1
ACC-04047,10.971657815702502,13,6,0.224,1,0,0.334,1.9,2,0,0,9,0.42857142857142855,0.3072,1,0.65,0,0,0,0
ACC-04555,10.373522431293592,46,1,0.205,1,0,0.732,3.3,2,1,0,9,0.02127659574468085,0.10149999999999999,1,0.55,0,0,1,1
ACC-04594,11.305913595583258,46,5,0.382,0,1,0.786,3.0,2,0,0,9,0.10638297872340426,0.3146,3,0.65,0,0,0,0
ACC-00003,10.518700218288165,113,7,0.319,0,0,0.887,0.1,2,0,0,10,0.06140350877192982,0.37570000000000003,1,0.8,0,0,0,1
ACC-00175,12.909667557971359,36,3,0.203,0,0,0.849,5.5,0,0,0,10,0.08108108108108109,0.1809,1,0.6,0,0,0,1
ACC-00683,9.6678285081515,20,5,0.361,0,0,0.555,3.6,4,1,0,10,0.23809523809523808,0.3083,1,0.75,0,0,0,0
ACC-01046,11.636920278634463,18,8,0.576,0,1,0.344,5.2,1,0,0,10,0.42105263157894735,0.4928,3,0.6,0,0,0,0
ACC-01644,12.042971193457888,124,5,0.228,0,0,0.367,0.1,1,0,0,10,0.04,0.2684,3,0.6,0,0,0,1
ACC-01815,11.147656555612986,29,3,0.452,1,0,0.577,6.5,5,0,0,10,0.1,0.2556,1,0.75,0,0,0,1
ACC-01860,13.265599278590988,34,2,0.284,1,0,0.867,1.5,2,1,0,10,0.05714285714285714,0.16519999999999999,4,0.8,0,1,1,1
ACC-02292,13.422321292431393,76,3,0.574,1,0,0.644,4.1,0,0,0,10,0.03896103896103896,0.2922,2,0.65,0,1,0,1
ACC-02957,11.448930795918299,30,2,0.439,1,0,0.488,5.1,0,0,0,10,0.06451612903225806,0.2117,0,0.8,0,0,0,0
ACC-03002,13.369225017834633,53,2,0.266,0,1,0.592,3.2,3,0,0,10,0.037037037037037035,0.1598,1,0.8,0,1,0,0
ACC-03172,13.074644738946118,85,1,0.325,0,0,0.476,2.7,0,1,0,10,0.011627906976744186,0.1375,2,0.65,0,0,0,1
ACC-03183,9.985113621416073,41,5,0.307,1,1,0.813,0.8,3,0,0,10,0.11904761904761904,0.2921,1,0.65,0,0,0,1
ACC-03570,10.721084386282662,32,10,0.377,0,1,0.809,4.0,0,0,0,10,0.30303030303030304,0.5131,4,0.8,0,0,0,1
ACC-03762,12.201567512641383,61,1,0.259,1,1,0.929,3.1,1,1,0,10,0.016129032258064516,0.1177,2,0.8,0,0,1,1
ACC-04269,12.38212878217386,54,1,0.26,0,0,0.35,2.4,2,1,0,10,0.01818181818181818,0.118,5,0.8,0,0,0,1
ACC-04378,14.508658238524095,58,3,0.27,0,0,0.739,2.2,0,0,0,10,0.05084745762711865,0.201,3,0.8,0,1,0,0
ACC-04517,10.96476135554887,38,2,0.204,0,0,0.572,0.6,2,0,0,10,0.05128205128205128,0.1412,2,0.55,0,0,0,0
ACC-00344,11.596356272699,54,2,0.365,1,1,0.555,1.0,0,0,0,11,0.03636363636363636,0.1895,3,0.55,0,0,0,1
ACC-00800,12.01491819331946,23,4,0.414,1,0,0.723,1.4,1,1,0,11,0.16666666666666666,0.2842,1,0.5,0,0,1,1
ACC-01435,12.235150749730654,36,9,0.148,1,0,0.866,0.1,2,0,0,11,0.24324324324324326,0.4044,4,0.75,0,0,0,1
ACC-01466,12.600143080224452,57,1,0.229,0,0,0.771,3.4,3,1,0,11,0.017241379310344827,0.10869999999999999,1,0.75,0,0,0,0
ACC-01760,12.12541016250223,26,4,0.331,1,1,0.942,1.1,0,1,0,11,0.14814814814814814,0.2593,2,0.6,0,0,1,1
ACC-01892,12.485222169100776,36,2,0.375,1,0,0.534,0.8,0,0,0,11,0.05405405405405406,0.1925,1,0.55,0,0,0,1
ACC-01922,12.34017075254176,50,4,0.375,0,1,0.709,3.3,1,0,0,11,0.0784313725490196,0.27249999999999996,1,0.75,0,0,0,0
ACC-02451,12.227839029667624,30,2,0.218,0,0,0.365,2.0,0,1,0,11,0.06451612903225806,0.1454,5,0.65,0,0,0,0
ACC-02851,11.013715451376466,75,4,0.151,0,0,0.773,3.0,0,1,0,11,0.05263157894736842,0.2053,1,0.6,0,0,0,1
ACC-02868,12.659378260676938,47,4,0.095,0,0,0.947,2.0,2,1,0,11,0.08333333333333333,0.1885,1,0.8,0,0,0,1
ACC-03826,11.726430716744437,15,2,0.082,1,0,0.762,1.9,0,0,0,11,0.125,0.1046,1,0.75,0,0,0,1
ACC-04525,9.210440366976517,57,8,0.158,1,0,0.884,0.9,1,0,0,11,0.13793103448275862,0.3674,2,0.8,0,0,0,1
ACC-04995,9.94755228369823,53,6,0.38,0,0,0.797,12.3,2,1,0,11,0.1111111111111111,0.354,4,0.75,0,0,0,1
ACC-00034,11.533717798424087,39,3,0.222,1,0,0.458,3.5,3,0,0,12,0.075,0.1866,5,0.5,0,0,0,1
ACC-00892,9.76428295481558,73,2,0.434,0,1,0.617,1.4,2,1,0,12,0.02702702702702703,0.2102,1,0.8,0,0,0,0
ACC-01117,10.463131911491967,66,2,0.173,1,1,0.775,3.6,0,1,0,12,0.029850746268656716,0.1319,5,0.75,0,0,1,1
ACC-01217,13.585469523611357,55,4,0.448,1,0,0.573,1.3,5,0,0,12,0.07142857142857142,0.2944,2,0.75,0,1,0,1
ACC-01533,9.692828247710418,91,5,0.324,1,0,0.422,4.4,1,0,0,12,0.05434782608695652,0.2972,5,0.8,0,0,0,1
ACC-01625,12.486356166069786,29,4,0.383,0,0,0.872,0.8,2,0,0,12,0.13333333333333333,0.27490000000000003,1,0.75,0,0,0,0
ACC-02134,11.547336553476635,13,5,0.084,1,0,0.844,2.9,1,1,0,12,0.35714285714285715,0.2252,1,0.55,0,0,1,1
ACC-02453,12.385059481651881,41,5,0.007,1,0,0.761,1.4,0,0,0,12,0.11904761904761904,0.2021,1,0.6,0,0,0,0
ACC-02960,12.56444964015848,9,1,0.23,0,1,0.731,6.8,1,0,0,12,0.1,0.10900000000000001,0,0.8,0,0,0,1
ACC-03446,11.541522639947903,12,5,0.276,1,1,0.35,5.4,2,0,0,12,0.38461538461538464,0.2828,5,0.6,0,0,0,0
ACC-03757,11.632493573102964,28,6,0.382,0,1,0.958,1.1,1,0,0,12,0.20689655172413793,0.35459999999999997,2,0.75,0,0,0,1
ACC-04249,11.667370387218226,55,1,0.396,1,0,0.485,4.5,4,0,0,12,0.017857142857142856,0.1588,2,0.6,0,0,0,1
ACC-04251,12.302750072044772,8,5,0.176,0,0,0.391,2.1,1,1,0,12,0.5555555555555556,0.2528,1,0.55,0,0,0,1
ACC-04326,12.884108726347916,26,3,0.193,1,0,0.788,0.4,0,0,0,12,0.1111111111111111,0.1779,5,0.5,0,0,0,0
ACC-04667,10.295563423525277,20,5,0.298,0,1,0.965,2.3,1,0,0,12,0.23809523809523808,0.2894,1,0.75,0,0,0,0
ACC-00195,10.785207543360087,38,2,0.271,0,1,0.784,0.6,1,0,0,13,0.05128205128205128,0.1613,1,0.65,0,0,0,1
ACC-00494,11.205054290550551,23,1,0.211,0,0,0.611,2.9,2,0,0,13,0.041666666666666664,0.1033,1,0.75,0,0,0,0
ACC-00759,10.661977618146238,95,5,0.242,1,1,0.718,2.3,2,0,0,13,0.052083333333333336,0.2726,2,0.8,0,0,0,1
ACC-01095,10.138599199626192,53,6,0.59,1,0,0.736,4.8,1,1,0,13,0.1111111111111111,0.417,2,0.65,0,0,1,0
ACC-01998,12.408200914579284,20,4,0.081,1,0,0.784,0.9,0,0,0,13,0.19047619047619047,0.1843,2,0.75,0,0,0,1
ACC-02357,11.277215789596893,62,2,0.31,1,1,0.492,7.9,2,0,0,13,0.031746031746031744,0.173,4,0.5,0,0,0,1
ACC-02987,10.61890979160975,40,2,0.266,0,0,0.524,2.3,4,0,0,13,0.04878048780487805,0.1598,0,0.75,0,0,0,0
ACC-03133,10.734242182303689,49,3,0.526,1,0,0.675,3.5,2,0,0,13,0.06,0.2778,3,0.5,0,0,0,0
ACC-03310,13.636504698166616,41,9,0.23,0,0,0.965,2.2,2,1,0,13,0.21428571428571427,0.429,2,0.55,0,1,0,1
ACC-03414,14.508658238524095,16,1,0.423,1,1,0.898,0.9,1,0,0,13,0.058823529411764705,0.1669,1,0.55,0,1,0,0
ACC-03535,9.561067663645012,18,4,0.16,1,1,0.73,1.3,0,0,0,13,0.21052631578947367,0.20800000000000002,2,0.65,0,0,0,1
ACC-03736,11.358619773129229,29,3,0.294,0,0,0.367,1.8,1,0,0,13,0.1,0.2082,1,0.55,0,0,0,0
ACC-04093,10.795506083434564,27,3,0.461,0,0,0.96,5.9,1,0,0,13,0.10714285714285714,0.2583,2,0.55,0,0,0,1
ACC-04297,12.312237337751334,50,3,0.236,1,0,0.67,0.7,2,0,0,13,0.058823529411764705,0.19079999999999997,4,0.75,0,0,0,1
ACC-04427,11.796607046116602,15,0,0.282,1,0,0.536,0.2,1,0,0,13,0.0,0.0846,3,0.65,0,0,0,1
ACC-04656,11.872702592158976,54,4,0.091,0,1,0.924,4.2,1,0,0,13,0.07272727272727272,0.1873,4,0.75,0,0,0,1
ACC-00027,12.978726236135634,6,7,0.165,1,0,0.477,2.5,0,1,0,14,1.0,0.3295,5,0.75,0,0,1,1
ACC-00186,12.445093483000798,60,3,0.23,0,0,0.844,4.5,3,1,0,14,0.04918032786885246,0.189,2,0.6,0,0,0,1
ACC-00483,12.162125982647739,82,2,0.312,1,0,0.453,4.3,0,1,0,14,0.024096385542168676,0.1736,4,0.55,0,0,1,1
ACC-00519,10.39516093745751,37,2,0.198,0,1,0.701,2.5,2,0,0,14,0.05263157894736842,0.1394,3,0.5,0,0,0,0
ACC-00555,11.407576060361786,41,1,0.159,0,1,0.753,3.0,1,0,0,14,0.023809523809523808,0.0877,3,0.8,0,0,0,1
ACC-00905,9.392745258631441,22,5,0.246,0,0,0.454,3.3,2,0,0,14,0.21739130434782608,0.2738,3,0.55,0,0,0,1
ACC-00995,13.217857176713197,29,4,0.202,0,1,0.308,0.4,1,1,0,14,0.13333333333333333,0.22060000000000002,5,0.55,0,1,0,0
ACC-01250,10.736418414365376,17,6,0.488,0,1,0.884,8.1,4,1,0,14,0.3333333333333333,0.38639999999999997,4,0.6,0,0,0,1
ACC-01407,11.956334830883424,36,2,0.32,0,0,0.727,3.8,3,1,0,14,0.05405405405405406,0.176,1,0.8,0,0,0,1
ACC-01666,12.411463546908074,17,9,0.127,1,0,0.818,2.7,0,1,0,14,0.5,0.3981,2,0.8,0,0,1,1
ACC-02972,11.499850357082506,17,3,0.338,1,0,0.873,3.6,0,1,0,14,0.16666666666666666,0.22139999999999999,5,0.75,0,0,1,1
ACC-03468,10.579005242826247,37,6,0.28,1,0,0.497,0.0,2,0,0,14,0.15789473684210525,0.324,4,0.6,0,0,0,0
ACC-04054,12.579706471268628,71,4,0.297,0,1,0.404,4.4,1,1,0,14,0.05555555555555555,0.2491,3,0.6,0,0,0,0
ACC-04108,12.326079872504838,43,2,0.265,1,1,0.545,2.3,1,1,0,14,0.045454545454545456,0.1595,1,0.75,0,0,1,1
